id,station,date,temperature,humidity,rain_mm,wind_kmh,irrigation,day_of_week,temp_category,irrigation_flag,heat_index,water_need,season
1,ST-01,2025-06-01,22.5,65.0,0.0,12,OFF,6,moderate,0,55.0,0,summer
2,ST-01,2025-06-02,24.1,58.0,0.0,15,ON,0,moderate,1,53.1,0,summer
3,ST-02,2025-06-01,21.8,70.0,2.5,8,OFF,6,moderate,0,56.8,0,summer
4,ST-01,2025-06-03,23.950000000000003,62.0,0.0,10,ON,1,moderate,1,54.95,0,summer
5,ST-02,2025-06-15,23.0,55.0,0.5,18,ON,6,moderate,1,50.5,0,summer
6,ST-01,2025-06-02,24.1,58.0,0.0,15,ON,0,moderate,1,53.1,0,summer
7,ST-02,2025-06-03,19.5,59.0,5.0,22,OFF,1,moderate,0,49.0,0,summer
8,ST-01,2025-06-04,23.950000000000003,60.0,0.0,14,ON,2,moderate,1,53.95,0,summer
10,ST-03,2025-06-01,25.5,59.0,0.0,11,ON,6,hot,1,55.0,1,summer
11,ST-03,2025-06-02,26.2,48.0,0.0,150,OFF,0,hot,0,50.2,1,summer
12,ST-01,2025-06-05,23.8,63.0,0.0,13,ON,3,moderate,1,55.3,0,summer
13,ST-02,2025-06-04,18.9,72.0,8.0,7,OFF,2,moderate,0,54.9,0,summer
14,ST-03,2025-06-03,27.1,45.0,0.0,20,ON,1,hot,1,49.6,1,summer
16,ST-03,2025-06-04,28.3,42.0,0.0,25,ON,2,hot,1,49.3,1,summer
